county_fips,res_statefips,county_name,age_cat,fileyear,total_mortality
1001.0,AL,Autauga,30 - 49 years,2005,2
1001.0,AL,Autauga,30 - 49 years,2006,3
1001.0,AL,Autauga,30 - 49 years,2007,1
1001.0,AL,Autauga,30 - 49 years,2008,1
1001.0,AL,Autauga,30 - 49 years,2013,1
1001.0,AL,Autauga,30 - 49 years,2020,1
1001.0,AL,Autauga,70 years or above,2006,2
1001.0,AL,Autauga,70 years or above,2007,1
1001.0,AL,Autauga,70 years or above,2008,2
1001.0,AL,Autauga,70 years or above,2009,1
1001.0,AL,Autauga,70 years or above,2010,2
1001.0,AL,Autauga,70 years or above,2012,1
1001.0,AL,Autauga,70 years or above,2013,4
1001.0,AL,Autauga,70 years or above,2015,1
1001.0,AL,Autauga,70 years or above,2016,2
1001.0,AL,Autauga,70 years or above,2018,2
1001.0,AL,Autauga,70 years or above,2019,1
1001.0,AL,Autauga,70 years or above,2021,2
1001.0,AL,Autauga,70 years or above,2022,3
1003.0,AL,Baldwin,10 - 29 years,2009,1
1003.0,AL,Baldwin,10 - 29 years,2019,1
1003.0,AL,Baldwin,10 - 29 years,2022,1
1003.0,AL,Baldwin,30 - 49 years,2005,2
1003.0,AL,Baldwin,30 - 49 years,2006,1
1003.0,AL,Baldwin,30 - 49 years,2010,1
1003.0,AL,Baldwin,30 - 49 years,2011,1
1003.0,AL,Baldwin,30 - 49 years,2014,1
1003.0,AL,Baldwin,30 - 49 years,2015,2
1003.0,AL,Baldwin,30 - 49 years,2019,3
1003.0,AL,Baldwin,30 - 49 years,2020,1
1003.0,AL,Baldwin,30 - 49 years,2021,2
1003.0,AL,Baldwin,70 years or above,2005,4
1003.0,AL,Baldwin,70 years or above,2006,6
1003.0,AL,Baldwin,70 years or above,2007,7
1003.0,AL,Baldwin,70 years or above,2008,1
1003.0,AL,Baldwin,70 years or above,2009,8
1003.0,AL,Baldwin,70 years or above,2010,4
1003.0,AL,Baldwin,70 years or above,2011,5
1003.0,AL,Baldwin,70 years or above,2012,5
1003.0,AL,Baldwin,70 years or above,2013,2
1003.0,AL,Baldwin,70 years or above,2014,4
1003.0,AL,Baldwin,70 years or above,2015,10
1003.0,AL,Baldwin,70 years or above,2016,3
1003.0,AL,Baldwin,70 years or above,2017,4
1003.0,AL,Baldwin,70 years or above,2018,11
1003.0,AL,Baldwin,70 years or above,2019,7
1003.0,AL,Baldwin,70 years or above,2020,5
1003.0,AL,Baldwin,70 years or above,2021,5
1003.0,AL,Baldwin,70 years or above,2022,5
1005.0,AL,Barbour,10 - 29 years,2013,1
1005.0,AL,Barbour,30 - 49 years,2005,1
1005.0,AL,Barbour,30 - 49 years,2019,1
1005.0,AL,Barbour,30 - 49 years,2020,1
1005.0,AL,Barbour,70 years or above,2005,1
1005.0,AL,Barbour,70 years or above,2006,1
1005.0,AL,Barbour,70 years or above,2007,1
1005.0,AL,Barbour,70 years or above,2009,2
